"source_term","chosen_arabic","status","adverse_or_rejected","aliases_or_notes","domain_or_context","review_status","review_date","reviewer","evidence_or_rationale"
"the finite countermodel assigns successor at 1 in M-prime although the construction defines M-double-prime","make the assignment in M-double-prime","source_trakhtenbrot_countermodel_structure_name_corrected_olp0273","إبقاء M-prime في تعريف M-double-prime؛ تغيير قيمة الخلف؛ حذف تعيين العنصر 1","المجال وعلاقتا التفسير المحيطتان تحملان جميعًا البنية M-double-prime، ولا تُعرّف M-prime في هذا المثال","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/turing-machines/undecidability/trakhtenbrot.tex line 68; OLP-0273","confidence 1.00; local structure definition independently replayed; structure superscript corrected only","2026-08-16","Codex paired QA","وحّدت العربية التعيين على M-double-prime"
"finite-model existence proof drops the formula marker from E(M,w)","use !E(M,w) in the satisfaction formula","source_trakhtenbrot_halts_sat_E_formula_marker_restored_olp0273","قراءة E بوصفها حدًا أو دالة؛ تغيير المقترن؛ حذف شرط النهاية","تعرف الوحدة !E(M,w) جملة، ويظهر المقترن نفسه بعلامة الصيغة في نص اللمة وفي الاتجاه العكسي","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/turing-machines/undecidability/trakhtenbrot.tex line 177; OLP-0273","confidence 1.00; lemma statement and converse independently replayed; one formula marker restored only","2026-08-16","Codex paired QA","أعادت العربية علامة الصيغة في !E(M,w)"
"completion problem cites T instead of strengthened T-prime and drops the formula marker from E","prove satisfaction of !T-prime(M,w) and !E(M,w)","source_trakhtenbrot_completion_formula_pair_corrected_olp0273","الرجوع إلى T الأضعف وكتابة E بلا علامة الصيغة؛ تغيير البنية؛ حذف المسألة","المسألة تكمل اللمة السابقة نفسها، التي تنص على اقتران !T-prime و!E في البنية M-prime","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/turing-machines/undecidability/trakhtenbrot.tex line 182; OLP-0273","confidence 1.00; immediately preceding lemma and proof independently replayed; two formula tokens corrected only","2026-08-16","Codex paired QA","أثبتت العربية Sat(M-prime,!T-prime(M,w) and !E(M,w))"
"contrapositive finite-model proof assumes the weaker T(M,w) although its hypothesis and subsequent entailment use T-prime(M,w)","assume the model satisfies !T-prime(M,w) and !E(M,w)","source_trakhtenbrot_contrapositive_model_hypothesis_corrected_olp0273","إضعاف فرض النموذج إلى T؛ تغيير اتجاه البرهان؛ حذف E","نص اللمة والسطر السابق والاستلزام التالي كلها تخص !T-prime، فلا يتبع المطلوب من نموذج T الأضعف","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/turing-machines/undecidability/trakhtenbrot.tex line 193; OLP-0273","confidence 1.00; lemma hypothesis and following entailment independently replayed; prime restored only","2026-08-16","Codex paired QA","افترضت العربية نموذجًا لـ!T-prime(M,w) and !E(M,w)"
"diagonal decidability argument switches from the enumerated formula A_n to an unindexed A after substitution","retain A_n in both substituted occurrences","source_incompleteness_diagonal_formula_index_restored_olp0279","إدخال صيغة A غير معرفة؛ تغيير العدد القطري؛ حذف النفي","الخوارزمية تحسب A_n(x) ثم تستبدل numeral n فيها، وتعريف D في السطر السابق يستعمل A_n(n) صراحة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/introduction/undecidability.tex lines 37 and 39; OLP-0279","confidence 1.00; enumeration and defining display independently replayed; subscript restored in two occurrences only","2026-08-16","Codex paired QA","أبقت العربية A_n(n) في عمليتي البناء والاختبار"
"atomic-formula coding quantifies a term-code sequence z of arity n but omits the constraint len(z)=n","add \len{z}=n to the bounded witnesses","source_atom_coding_sequence_arity_constraint_restored_olp0284","السماح بمتتالية حدية بطول لا يساوي رتبة المحمول؛ تغيير سائر الشروط؛ حذف الشاهد z","طول متتالية الحدود يجب أن يساوي رتبة رمز المحمول كي يرمز flatten(z) قائمة وسائط صحيحة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/coding-formulas.tex lines 25--29; OLP-0284","confidence 1.00; predicate arity and adjacent term-sequence use independently replayed; one length equality added only","2026-08-16","Codex source replay","أضافت العربية الشرط \len{z}=n إلى الشهود المحدودين"
"formula-formation proof claims every element code and the code of their whole sequence are strictly less than x, although the last entry is the formula itself","choose a repetition-free formation sequence, bound its length by k=len(x), bound every entry code by x inclusively, and use the primitive-recursive sequence-code bound p_(k-1)^(k(x+1))","source_formula_formation_sequence_bound_corrected_olp0284","إبقاء القيد الصارم s_i<x مع أن s_{k-1}=s؛ إبقاء الادعاء بأن شفرة المتتالية أصغر من x؛ حذف الحد الفعلي؛ تغيير ترميز الصيغ","في متتالية تكوين بلا تكرار يكون كل عنصر صيغة جزئية، والطول لا يتجاوز k=len(x)، وشفرة كل عنصر لا تتجاوز x؛ ومن ترميز المتتاليات ينتج مثلًا الحد p_(k-1)^(k(x+1))","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/coding-formulas.tex lines 47--52; OLP-0284","confidence 1.00; final-entry equality, repetition-free subformula count, inclusive element bound, and explicit sequence-code bound independently replayed","2026-08-16","Codex source replay","اختارت العربية متتالية بلا تكرار، وحدت طولها بـk=\len{x}، وشفرات عناصرها بـx على نحو شامل، وذكرت الحد $p_{k-1}^{k(x+1)}$"
"two displayed Goedel-code formulas contain terminal right parentheses not opened inside their \Gn arguments","remove the terminal right parenthesis after the consequent !A and the terminal right parenthesis after !A in the initial sequent","source_lk_example_stray_formula_parentheses_removed_olp0286","حذف القوسين الصحيحين حول !A land !B؛ إبقاء القوسين الطرفيين الزائدين؛ تغيير شجرة الاشتقاق","القوسان حول المقدمة المركبة مطلوبان، أما القوس بعد !A في كل من الموضعين فلا يقابله قوس فاتح داخل وسيط Gn","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex lines 86 and 88; OLP-0286","confidence 1.00; displayed derivation and encoded sequents independently replayed; two unmatched terminal tokens removed only","2026-08-16","Codex source replay","حفظت العربية (!A land !B) وحذفت فقط القوس الطرفي بعد التالي !A والقوس الطرفي في !A Sequent !A"
"LK coding alternates EndSequent and InitialSeq with the established EndSeq and InitSeq function names","use EndSeq and InitSeq consistently throughout the section","source_lk_end_and_initial_sequent_function_names_normalized_olp0286","الإبقاء على أسماء دوال متعارضة داخل القسم؛ تغيير حجج الدوال؛ حذف اختبارات التتابع","الدوال نفسها تقدم محليًا بأسماء EndSeq وInitSeq ويجب أن تتطابق جميع الإحالات الرسمية اللاحقة معها","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex lines 95--282; OLP-0286","confidence 1.00; local definitions and every later call independently replayed; names normalized only","2026-08-16","Codex source replay","استعملت العربية \fn{EndSeq} و\fn{InitSeq} في جميع المواضع"
"the right-exists inference test quantifies x and t but does not test that they code a variable and a closed term","conjoin \fn{Var}(x) and \fn{ClTerm}(t)","source_lk_right_exists_variable_and_closed_term_guards_restored_olp0286","السماح بشفرات اعتباطية للمتغير والحد؛ تقوية الحد إلى صيغة؛ تغيير قاعدة الاستدلال","وصف القاعدة السابق يقتضي متغيرًا x وحدًا مغلقًا t، ولا تضمن معادلات الترميز ذلك وحدها","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex lines 183--202; OLP-0286","confidence 1.00; rule statement and substitution equation independently replayed; two type guards added only","2026-08-16","Codex source replay","أضافت العربية \fn{Var}(x) و\fn{ClTerm}(t) قبل معادلتي التتابع"
"the LK correctness discussion switches from derivation-code parameter p to undefined d in two places","retain p in both the end-sequent prose and \fn{Deriv}(p)","source_lk_derivation_parameter_consistency_restored_olp0286","إدخال المتغير الحر d؛ تغيير الكمية المقيدة؛ إعادة تسمية المعلمات الأخرى","القضية وتعريف Correct والحد SubtreeSeq كلها تستخدم p، ولا يربط السياق d في هذين الموضعين","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex lines 204--214 and 236--246; OLP-0286","confidence 1.00; proposition parameter and defining formula independently replayed; d changed to p only","2026-08-16","Codex source replay","أبقت العربية p في شرح التتابع الختامي وفي \fn{Deriv}(p)"
"the bounded conjunction defining LK Deriv leaves the Correct call unclosed","close \fn{Correct}((\fn{SubtreeSeq}(p))_i) before the bounded-quantifier brace","source_lk_deriv_correct_parenthesis_restored_olp0286","إبقاء استدعاء Correct ناقصًا؛ تغيير حد التكميم؛ حذف شرط الصحة","توازن الصيغة وتطبيق الدالة أحادية الوسيط يقتضيان قوس الإغلاق قبل قوس وسيط bforall","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex line 246; OLP-0286","confidence 1.00; function arity and delimiter structure independently replayed; one right parenthesis added only","2026-08-16","Codex source replay","أغلقت العربية استدعاء \fn{Correct} قبل إنهاء وسيط التكميم"
"the prose formula for the right side of the end-sequent equates its sole entry to proof code x rather than formula code y","equate the sole right-side entry to y","source_lk_proof_target_formula_code_corrected_olp0286","إبقاء الطرف الأيمن مساويًا لشفرة البرهان x؛ تبديل وسيطي Prf؛ تغيير التعريف المعروض اللاحق","تعريف Prf يصرح بأن x شفرة الاشتقاق وy عدد غودل للصيغة !A، والمعادلة المعروضة اللاحقة تستعمل y","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-lk.tex lines 261--282; OLP-0286","confidence 1.00; proposition statement and final definition independently replayed; x changed to y only","2026-08-16","Codex source replay","ساوت العربية المدخل الوحيد للطرف الأيمن بـy"
"the natural-deduction Correct definition leaves the rule alternatives ungrouped after a leading Sequent conjunct","bracket the full disjunction of rule and assumption cases","source_nd_correct_rule_disjunction_grouped_olp0287","ترك أولوية land وlor تجعل بعض البدائل تتجاوز شرط Sequent؛ تغيير البدائل؛ حذف حالة الفرض","شرط كون الناتج صيغة يجب أن يقترن بواحد من جميع بدائل صحة القاعدة لا بالبديل الأول وحده","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-nd.tex lines 217--224; OLP-0287","confidence 1.00; intended predicate structure and parallel LK definition independently replayed; grouping brackets added only","2026-08-16","Codex source replay","وضعت العربية بدائل Correct كلها بين معقوفين بعد شرط Sequent"
"Subderiv treats tuple position zero as a child although it stores the child count","read the j-th child from tuple position j+1","source_nd_immediate_subderivation_child_offset_corrected_olp0287","قراءة عداد الأبناء بوصفه اشتقاقًا جزئيًا؛ تغيير مجال j؛ تغيير ترميز الأشجار","ترميز الاشتقاق يضع عدد الأبناء في الخانة صفر ثم الأبناء في الخانات 1 إلى العدد","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-nd.tex lines 287--294; OLP-0287","confidence 1.00; derivation tuple layout and adjacent child traversal independently replayed; index shifted by one only","2026-08-16","Codex source replay","استعملت العربية (d-prime)_{j+1} مع إبقاء j دون عدد الأبناء"
"OpenAssum bounds candidate subsequence codes strictly below SubtreeSeq(d), excluding a possible code equal to the bound","use the inclusive bound s less than or equal to SubtreeSeq(d)","source_nd_open_assumption_candidate_path_bound_made_inclusive_olp0287","الإبقاء على الحد الصارم الذي قد يستبعد شاهدًا مساويًا؛ تغيير حلقة المسار الداخلية؛ تغيير فهرس الابن","الحد المتاح هو شفرة المتتالية الكاملة نفسها، والمتتالية المرشحة قد تبلغ هذا الحد؛ الحلقة الداخلية تبقى i<len(s)-1","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-nd.tex lines 295--301; OLP-0287","confidence 1.00; path witness and inclusive code bound independently replayed; outer comparison changed only","2026-08-16","Codex source replay","استعملت العربية \bexists{s\leq\fn{SubtreeSeq}(d)} مع إبقاء (d-prime)_{j+1} وحلقة i<len(s)-1"
"the axiomatic QR test uses bounded variable j without binding it","prepend the missing bounded existential \bexists{j<i}","source_ax_qr_preceding_line_witness_bound_restored_olp0288","ترك j حرًا؛ تغيير شرط السبق؛ حذف السطر الشاهد","وصف القاعدة يشترط سطرًا سابقًا j<i وكل ظهور رسمي لاحق لـ(d)_j يعتمد على هذا الشاهد","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-ax.tex lines 108--133; OLP-0288","confidence 1.00; prose rule and formal uses of j independently replayed; one bounded existential added only","2026-08-16","Codex source replay","أضافت العربية \bexists{j<i} خارج بقية الشهود"
"the recursive hCond clause calls Cond at n and therefore bypasses its own recursion","call \fn{hCond}(s,y,n) in the successor clause","source_ax_nested_conditional_recursive_call_corrected_olp0288","إبقاء الاستدعاء إلى Cond ذي الوسيطين مع ثلاثة وسائط؛ تغيير الحالة الأساسية؛ تغيير ترتيب المقدمات","اسم الدالة في رأس المعادلة وحالتها الأساسية وتكرار n كلها تقتضي استدعاء hCond الثلاثي","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-ax.tex lines 195--202; OLP-0288","confidence 1.00; recursive schema and final Cond wrapper independently replayed; callee name corrected only","2026-08-16","Codex source replay","استدعت العربية \fn{hCond}(s,y,n) في الفرع العودي"
"the axiomatic QR prose says c does on occur and later bounds that of a by the formula on line j","say c does not occur and bound the code of c by the formula on line j","source_ax_qr_constant_wording_typos_corrected_olp0288","قراءة on بوصفها علاقة؛ إسناد الحد إلى a بدل c؛ تغيير الصيغ الرسمية","شرط المتغير المميز هو عدم ورود c في B، والتكميم الرسمي اللاحق يكتب c<(d)_j","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/arithmetization-syntax/proofs-in-ax.tex lines 108--125; OLP-0288","confidence 1.00; enumerated conditions and formal bound independently replayed; two prose tokens corrected only","2026-08-16","Codex source replay","قالت العربية إن c لا يرد في B وإن عدد غودل لـc أصغر من عدد صيغة السطر j"
"the representability lemma states the uniqueness formula without saying that Q proves it","prefix the universally quantified uniqueness formula by \Th{Q}\Proves","source_q_representability_uniqueness_provability_restored_olp0291","قراءة صيغة التفرد بوصفها حقيقة ميتالغوية غير منسوبة للنظرية؛ تغيير الصيغة؛ حذف حجة التناقض","بند التمثيل المشار إليه هو قابلية إثبات التفرد في Q، والاستنتاج التالي يستعمل المنطق مع ما تثبته Q","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/representable-comp.tex lines 32--38; OLP-0291","confidence 1.00; cited representation clause and following proof step independently replayed; theory and provability marker restored only","2026-08-16","Codex source replay","سبقت العربية صيغة التفرد بـ\Th{Q}\Proves"
"the primitive-recursion paragraph names h with arguments x and vector z although the defining equations use vector x and y","write h(\vec x,y) in the signature sentence","source_primitive_recursion_h_argument_signature_corrected_olp0293","إبقاء متجه z غير المتسق والمتغير x المفرد؛ تغيير معادلتي العودية؛ تغيير رتبتي f وg","المعادلتان التاليتان تعرفان h على \vec x وy، مع f(\vec x) وg(\vec x,y,z)","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/prim-rec.tex lines 12--18; OLP-0293","confidence 1.00; displayed recursion equations and function arities independently replayed; signature arguments corrected only","2026-08-16","Codex source replay","كتبت العربية h(\vec x,y) في جملة التوقيع"
"axiomatizability / axiomatizable / c.e. / computably enumerable / decidable / represents; article-bearing text tokens","قابلية المحورة / قابلة للمحورة / قابلة للتعداد حسابيًا / قابلة للتعداد حسابيًا / قابلة للقرار / تمثّل؛ أداة التنكير فارغة","localized_texttoken_and_article_coverage_completed_through_olp0306","توريث البدائل الإنجليزية من إعداد المصدر؛ إبقاء a أو A قبل المصطلح العربي؛ حذف حوامل المصطلحات التنفيذية","أضيفت مفاتيح settexttoken الستة، وأضيفت بدائل a/A الفارغة لـdecidable وmain operator وoperator وundischarged وvariable مع إبقاء جميع المفاتيح العربية السابقة","Arabic glossary-carrier expansion and locale config through OLP-0306","48/48 localized settexttoken keys and all 30 article-bearing keys covered; bounded OLP-0283--0306 expansion has zero English fallback","2026-08-16","Codex source replay","حُفظت حوامل !! كما في المصدر، وتوسعت المواضع الـ241 في OLP-0283--0306 إلى بدائل عربية بلا رجوع إنجليزي"
"the composition exercise cites prop:rep2 for both proof obligations","cite prop:rep1 for the first obligation and prop:rep2 for the second","source_composition_exercise_first_reference_corrected_olp0295","إبقاء الإحالتين إلى القضية الثانية؛ تبديل الإحالة الثانية؛ حذف إحدى المهمتين","المطلوب الأول هو إثبات الوجود الذي تصرح به prop:rep1، أما المطلوب الثاني فهو إثبات التفرد الذي تصرح به prop:rep2","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/composition-representable.tex lines 92--99; OLP-0295","confidence 1.00; the two proposition statements and exercise obligations independently matched; first reference corrected only","2026-08-16","Codex source replay","أحالت العربية المهمة الأولى إلى prop:rep1 وأبقت الثانية محالة إلى prop:rep2"
"the successor-addition induction display attributes its final equality without the induction hypothesis and equality reasoning","justify the step by the induction hypothesis, Q5, and equality logic","source_successor_addition_induction_justification_completed_olp0296","نسبة الانتقال كله إلى Q5 وحدها؛ حذف فرض الاستقراء؛ تغيير معادلات الجمع","ينقل فرض الاستقراء مساواة a+b بالعدد الاسمي ثم تحول Q5 جمع الخلف إلى خلف الجمع، وتصل بينهما قواعد الهوية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/minimization-representable.tex lines 50--59; OLP-0296","confidence 1.00; adjacent induction hypothesis, Q5, and equality chain independently replayed; justification completed only","2026-08-16","Codex source replay","نسبت العربية الخطوة إلى فرض الاستقراء والبديهية Q5 ومنطق المساواة"
"the trichotomy induction introduces witness c but later uses the unintroduced c-prime","retain c as the existential witness","source_trichotomy_existential_witness_corrected_olp0296","إدخال شاهد جديد غير مربوط؛ تغيير اتجاه المتباينة؛ حذف الوجود","الفقرة تختار c بحيث c-prime plus b equals numeral m ثم تستعمل المعادلة نفسها لإنتاج شاهد الحالة التالية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/minimization-representable.tex lines 175--184, especially line 179; OLP-0296","confidence 1.00; witness introduction and subsequent Q5 transformation independently replayed; c-prime changed to c only","2026-08-16","Codex source replay","أبقت العربية c شاهدًا للوجود في الخطوات المتتابعة"
"the atomic-equality proof gives t2 the numeral for n although its value was named m","write t2 equals numeral m","source_atomic_completeness_second_term_value_corrected_olp0300","مساواة الحدين بالعدد الاسمي نفسه قبل فصل حالتي n=m وn لا يساوي m؛ تغيير تسمية القيم؛ حذف التعدي","الفرض المحلي يقرر أن قيمة t1 هي n وقيمة t2 هي m، ثم يقارن العددين الاسميين في الحالتين","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/sigma1-completeness.tex lines 112--121, especially line 116; OLP-0300","confidence 1.00; term valuations and following case split independently replayed; one numeral argument corrected only","2026-08-16","Codex source replay","كتبت العربية \Th{Q}\Proves\eq[t_2][\num m]"
"the positive atomic-less-than proof reverses the Q8 witness addends","use numeral k-prime plus numeral n, in that order","source_atomic_less_than_addend_order_corrected_olp0300","كتابة n ثم k-prime مع أن تعريف أقل من يضع الشاهد قبل الحد الأصغر؛ تغيير الشاهد؛ قلب طرفي المساواة","تعريف Q8 المستعمل هو x<y iff there exists z with z-prime+x=y، ولذلك يعوض z بالكاف وx بالنون","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/sigma1-completeness.tex lines 124--134, especially line 131; OLP-0300","confidence 1.00; displayed Q8 definition and substitution independently replayed; addend order corrected only","2026-08-16","Codex source replay","استعملت العربية \eq[{\num k}'+\num n][\num m]"
"the equal-value branch of the negative atomic-less-than proof states a negated successor-zero equation","derive the positive equation z-prime equals zero and contradict Q2","source_atomic_nonless_equal_case_equation_polarity_corrected_olp0300","إبقاء نفي المعادلة فلا ينشأ تناقض؛ تغيير حالة m=n؛ حذف Q2","من فرض الشاهد ومع m=n تستنتج المعادلة الموجبة التي تحظرها بديهية Q2 مباشرة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/sigma1-completeness.tex lines 139--148, especially lines 145--147; OLP-0300","confidence 1.00; witness equation, equality case, and Q2 independently replayed; polarity and cited axiom corrected only","2026-08-16","Codex source replay","استنتجت العربية \eq[z'][\Obj 0] وصرحت بتناقضها مع Q2"
"the m-less-than-n branch invokes the wrong arithmetic axiom for its successor-zero contradiction","cite Q2 after Q5 yields a successor equal to zero","source_atomic_nonless_strict_case_contradiction_axiom_corrected_olp0300","نسبة التناقض النهائي إلى Q5؛ حذف تحويل Q5؛ تغيير ترتيب n وm","تستعمل Q5 أولًا لإعادة كتابة المجموع في صورة خلف، ثم تحظر Q2 مساواة أي خلف بالصفر","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/sigma1-completeness.tex lines 147--150; OLP-0300","confidence 1.00; Q5 rewrite and Q2 successor-zero axiom independently replayed; contradiction citation corrected only","2026-08-16","Codex source replay","قالت العربية إن المعادلة الناتجة بحسب Q5 تناقض Q2"
"the bounded-universal base case calls the k-equals-zero expansion an empty disjunction","call it an empty conjunction","source_bounded_universal_empty_conjunction_corrected_olp0300","الإبقاء على انفصال فارغ يساوي الكذب بدل اقتران فارغ يساوي الصدق؛ تغيير حالة الأساس؛ حذف التكافؤ","التوسع المعروض للصيغة الكلية المحدودة اقتران من الحالات الأصغر من k، وعند k=0 لا توجد عوامل","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/representability-in-q/sigma1-completeness.tex lines 163--171, especially line 168; OLP-0300","confidence 1.00; bounded-universal expansion and zero bound independently replayed; connective name corrected only","2026-08-16","Codex source replay","سمت العربية حالة k=0 اقترانًا خاليًا"
"the fourth introductory list item leaves the theorem reference parenthesis unopened","restore the opening parenthesis before the reference","source_theories_computability_reference_parenthesis_restored_olp0302","إبقاء قوس إغلاق بلا مقابل؛ حذف الإحالة؛ تغيير عنصر القائمة","العناصر الثلاثة السابقة تحيط الإحالة بقوسين، والإغلاق موجود بعد هذه الإحالة أيضًا","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/introduction.tex lines 23--29, especially line 28; OLP-0302","confidence 1.00; parallel list topology and delimiter balance independently checked; one opening parenthesis restored only","2026-08-16","Codex source replay","وضعت العربية قوس الفتح قبل \olref[req][rel]{thm:representing-rels}"
"the concluding reduction uses metalevel T inside two object-language existential sentences","use the representing object formula !A_T in both sentences","source_q_ce_object_formula_restored_olp0303","إدخال المحمول الميتالغوي في جملة لغة الحساب؛ تغيير علاقة كليني السابقة؛ حذف الاختزال","شفرة الاختزال يجب أن تكون لجملة من لغة الحساب، والصيغة !A_T هي التي عرّفت قبل ذلك بوصفها ممثلة للمحمول T","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/q-is-ce.tex lines 47--51; OLP-0303","confidence 1.00; representing-formula introduction and coded-sentence requirement independently replayed; two formula markers restored only","2026-08-16","Codex source replay","استعملت العربية !A_T في وصف الجملة وفي تعريف الدالة المختزلة"
"the label thm:oconsis-q is attached to the omega-consistency definition rather than the following theorem","move the label into the theorem environment","source_omega_consistency_theorem_label_relocated_olp0304","إبقاء إحالات theorem على تعريف؛ تغيير اسم الوسم؛ حذف التعريف أو المبرهنة","الوسم يبدأ بـthm وتستعمله الوحدة التالية بوصفه المبرهنة التي تضعف فرضها إلى الاتساق العادي","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/oconsis-ext-of-q-undec.tex lines 25--36; OLP-0304","confidence 1.00; environment boundaries and downstream theorem reference independently checked; label relocated only","2026-08-16","Codex source replay","وضعت العربية \ollabel{thm:oconsis-q} داخل بيئة thm"
"the universal-relation proof applies the metalevel relation S to numeral terms twice","write S(n) and not S(n), leaving numerals only inside the represented object formulas","source_universal_relation_meta_argument_corrected_olp0305","إسناد حد من لغة الموضوع إلى علاقة ميتالغوية؛ إزالة الأعداد الاسمية من D_S؛ تغيير متغير الحالة","العلاقة S معرفة على الأعداد الطبيعية n، أما D_S فهي الصيغة التي تأخذ العدد الاسمي \num n داخل النظرية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/extensions-of-q-not-decidable.tex lines 58--68, especially lines 60 and 65; OLP-0305","confidence 1.00; metalanguage/object-language levels independently replayed; two S arguments corrected only","2026-08-16","Codex source replay","كتبت العربية S(n) و\lnot S(n) وأبقت \num n في D_S"
"the axiomatizable-theory proof claims to decide membership by searching for a derivation","semidecide membership by that one-sided search","source_axiomatizable_membership_semidecision_corrected_olp0306","ادعاء قرار العضوية مع أن البحث قد لا يتوقف في حالة عدم الانتماء؛ حذف البحث؛ تغيير مجموعة البديهيات","وجود الاشتقاق شاهد منته يمكن البحث عنه، فيتوقف البحث عند الانتماء فقط ويثبت قابلية التعداد الحسابي المطلوبة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/computably-axiomatizable.tex lines 25--34, especially lines 26--27; OLP-0306","confidence 1.00; lemma conclusion and search behavior independently replayed; decision claim weakened to semidecision only","2026-08-16","Codex source replay","قالت العربية لشبه تقرير ما إذا كان !A\in T ابحث عن اشتقاق له"
"Arabic combining-mark order in المعرِّفة was not NFC","المعرِّفة","target_nfc_mark_order_normalized_olp0296","إبقاء الكسرة بعد الشدة في ترتيب التخزين؛ حذف العلامات؛ تغيير الكلمة","أعيد ترتيب الكسرة والشدة ترتيبًا قانونيًا من دون تغيير الحروف أو المعنى أو العرض المقصود","locale/ar/content/incompleteness/representability-in-q/minimization-representable.tex line 106; OLP-0296","exact two-codepoint canonical reordering; NFC and formal replay pass","2026-08-16","Codex paired replay","حُفظت الكلمة نفسها دلاليًا وصارت NFC"
"Arabic combining-mark order in لنسمِّ was not NFC","لنسمِّ","target_nfc_mark_order_normalized_olp0305","إبقاء الكسرة بعد الشدة في ترتيب التخزين؛ حذف العلامات؛ تغيير الفعل","أعيد ترتيب الكسرة والشدة ترتيبًا قانونيًا من دون تغيير الحروف أو المعنى أو العرض المقصود","locale/ar/content/incompleteness/theories-computability/extensions-of-q-not-decidable.tex line 70; OLP-0305","exact two-codepoint canonical reordering; NFC and formal replay pass","2026-08-16","Codex paired replay","حُفظ الفعل نفسه دلاليًا وصار NFC"
"the second simultaneous search omits the theory from which the derivation of not A is sought","say a derivation of \lnot !A from~\Th{T}","source_complete_decidable_negation_search_theory_restored_olp0307","إبقاء البحث الثاني بلا نظرية أصل؛ إسناده إلى نظرية أخرى؛ حذف البحث المتوازي","قرار العضوية يعتمد على البحث المتوازي عن اشتقاقي !A ونفيها من النظرية الكاملة نفسها T","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/incompleteness/theories-computability/complete-decidable.tex lines 26--30, especially line 28; OLP-0307","confidence 1.00; parallel search and completeness argument independently replayed; from T restored only","2026-08-16","Codex source replay","قالت العربية إن البحث الثاني عن اشتقاق \lnot !A من~\Th{T}"
